weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
9,EB,9,5813040233,1198671494,EPG(PB08)_R8,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1557,0.005780346820809248,2453,0.0036689767631471666,0.005780346820809248,1263,1554,0.005791505791505791,0.007125890736342043,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,633546217,5813047793,EPG(PB08)_R4,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1530,0.0058823529411764705,2408,0.003737541528239203,0.0058823529411764705,1127,1522,0.005913272010512484,0.007985803016858917,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,449438847,5813047793,EPG(PB08)_L3,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.0058823529411764705,3640,0.0024725274725274724,0.0058823529411764705,1711,1522,0.005913272010512484,0.005260081823495032,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,387364605,5813047793,EPG(PB08)_L3,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.0058823529411764705,3725,0.0024161073825503354,0.0058823529411764705,1789,1522,0.005913272010512484,0.005030743432084964,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,5813022281,1167645442,EPG(PB08)_L4,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.005373134328358209,3208,0.002805486284289277,0.005373134328358209,1302,1484,0.006064690026954178,0.0069124423963133645,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,942491983,1167645442,EPG(PB08)_R6,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1675,0.005373134328358209,2849,0.003159003159003159,0.005373134328358209,1266,1484,0.006064690026954178,0.0071090047393364926,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,1004017998,1198326456,EPG(PB08)_L7,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1691,0.005322294500295683,2698,0.003335804299481097,0.005322294500295683,1052,1527,0.005893909626719057,0.008555133079847909,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,5813077544,5813050767,EPG(PB08)_R1,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.005039193729003359,3461,0.002600404507367813,0.005039193729003359,1841,1630,0.005521472392638037,0.004888647474198805,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,1447576662,5813050767,EPG(PB08)_L1,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1786,0.005039193729003359,3842,0.002342529932326913,0.005039193729003359,1759,1630,0.005521472392638037,0.00511654349061967,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,1002852791,5813050767,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.005039193729003359,2984,0.0030160857908847183,0.005039193729003359,1527,1630,0.005521472392638037,0.005893909626719057,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,694920753,5813050767,EPG(PB08)_R5,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.005039193729003359,2724,0.003303964757709251,0.005039193729003359,1462,1630,0.005521472392638037,0.006155950752393981,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,572870540,5813053866,EPG(PB08)_L1,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1856,0.004849137931034483,3665,0.0024556616643929058,0.004849137931034483,1533,1685,0.005341246290801187,0.005870841487279843,ER4,EPG,ER,EPG,ER,EB Columnar
9,EB,9,697001770,1292847181,EPG(PB08)_L2,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1702,0.005287896592244419,2979,0.0030211480362537764,0.005287896592244419,1221,1558,0.005776636713735558,0.007371007371007371,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,541118908,1168059800,EPG(PB08)_R3,ER2_c(ring)_L,EPG_R,ER2_c_L,ER2_c,EPG,1477,0.005416384563303994,2982,0.0026827632461435278,0.005416384563303994,1451,1398,0.005722460658082976,0.0055134390075809786,ER2,EPG,ER,EPG,ER,EB Columnar
8,EB,8,912545106,1136861363,EPG(PB08)_L2,ER2_c(ring)_R,EPG_L,ER2_c_R,ER2_c,EPG,1524,0.005249343832020997,3302,0.0024227740763173833,0.005249343832020997,1455,1413,0.005661712668082095,0.005498281786941581,ER2,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1168664495,1167895489,EPG(PB08)_L8,ER2_c(ring)_R,EPG_L,ER2_c_R,ER2_c,EPG,1557,0.005138086062941554,2955,0.0027072758037225042,0.005138086062941554,1350,1437,0.0055671537926235215,0.005925925925925926,ER2,EPG,ER,EPG,ER,EB Columnar
8,EB,8,665314820,5813048896,EPG(PB08)_L4,ER2_c(ring)_R,EPG_L,ER2_c_R,ER2_c,EPG,1420,0.005633802816901409,3156,0.0025348542458808617,0.005633802816901409,1320,1305,0.006130268199233717,0.006060606060606061,ER2,EPG,ER,EPG,ER,EB Columnar
8,EB,8,5813080838,1167641412,EPG(PB08)_R3,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1506,0.005312084993359893,3197,0.0025023459493274947,0.005312084993359893,1535,1504,0.005319148936170213,0.005211726384364821,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,5813040233,1167977970,EPG(PB08)_R8,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1689,0.004736530491415038,2453,0.003261312678353037,0.004736530491415038,1263,1685,0.004747774480712166,0.006334125098970704,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1002852791,1167977970,EPG(PB08)_R7,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1689,0.004736530491415038,2984,0.002680965147453083,0.004736530491415038,1527,1685,0.004747774480712166,0.005239030779305829,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,695629525,1167977970,EPG(PB08)_R2,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1689,0.004736530491415038,2887,0.0027710426047800486,0.004736530491415038,1425,1685,0.004747774480712166,0.005614035087719298,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,725951521,5813049948,EPG(PB08)_R5,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1563,0.005118362124120281,2702,0.0029607698001480384,0.005118362124120281,1276,1562,0.005121638924455826,0.006269592476489028,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,695629525,5813049948,EPG(PB08)_R2,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1563,0.005118362124120281,2887,0.0027710426047800486,0.005118362124120281,1425,1562,0.005121638924455826,0.005614035087719298,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,572870540,5813049948,EPG(PB08)_L1,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1563,0.005118362124120281,3665,0.00218281036834925,0.005118362124120281,1533,1562,0.005121638924455826,0.005218525766470972,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,5813022281,1198671494,EPG(PB08)_L4,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1557,0.005138086062941554,3208,0.0024937655860349127,0.005138086062941554,1302,1554,0.005148005148005148,0.006144393241167435,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,5813027103,5813047793,EPG(PB08)_R5,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1530,0.00522875816993464,2963,0.0026999662504218697,0.00522875816993464,1404,1522,0.005256241787122208,0.005698005698005698,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,5813014873,5813047793,EPG(PB08)_R1,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1530,0.00522875816993464,3023,0.0026463777704267286,0.00522875816993464,1553,1522,0.005256241787122208,0.0051513200257566,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,912601268,5813047793,EPG(PB08)_L6,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.00522875816993464,2851,0.0028060329708874078,0.00522875816993464,1183,1522,0.005256241787122208,0.006762468300929839,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1035045015,1167645442,EPG(PB08)_L7,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.004776119402985075,3480,0.0022988505747126436,0.004776119402985075,1451,1484,0.005390835579514825,0.0055134390075809786,ER4,EPG,ER,EPG,ER,EB Columnar
