weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
44,EB,44,1167977970,1035045015,ER4m(ring)_L,EPG(PB08)_L7,ER4m_L,EPG_L,EPG,ER4m,4196,0.010486177311725452,4439,0.00991214237440865,0.010486177311725452,4439,3804,0.011566771819137749,0.00991214237440865,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,5813049948,695629525,ER4m(ring)_L,EPG(PB08)_R2,ER4m_L,EPG_R,EPG,ER4m,4153,0.010594750782566819,4309,0.010211185889997679,0.010594750782566819,4309,3837,0.011467292155329685,0.010211185889997679,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1198671494,449438847,ER4m(ring)_L,EPG(PB08)_L3,ER4m_L,EPG_L,EPG,ER4m,4595,0.009575625680087052,4044,0.010880316518298714,0.009575625680087052,4041,4070,0.010810810810810811,0.01088839396189062,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1167645442,1126647624,ER4m(ring)_R,EPG(PB08)_R8,ER4m_R,EPG_R,EPG,ER4m,2943,0.014950730547060823,4226,0.010411736867013724,0.014950730547060823,4217,2696,0.016320474777448073,0.010433957789898031,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1167645442,416642425,ER4m(ring)_R,EPG(PB08)_R4,ER4m_R,EPG_R,EPG,ER4m,3833,0.01147925906600574,4226,0.010411736867013724,0.01147925906600574,4217,3482,0.01263641585295807,0.010433957789898031,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1167645442,5813027103,ER4m(ring)_R,EPG(PB08)_R5,ER4m_R,EPG_R,EPG,ER4m,3570,0.012324929971988795,4226,0.010411736867013724,0.012324929971988795,4217,3286,0.013390139987827145,0.010433957789898031,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1198326456,1002852791,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4112,0.010700389105058366,4285,0.010268378063010501,0.010700389105058366,4271,3834,0.011476264997391758,0.010302036993678295,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,5813050767,1002852791,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4112,0.010700389105058366,4184,0.010516252390057362,0.010700389105058366,4163,3834,0.011476264997391758,0.010569300984866683,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,5813050767,541870397,ER4m(ring)_R,EPG(PB08)_L6,ER4m_R,EPG_L,EPG,ER4m,3916,0.011235955056179775,4184,0.010516252390057362,0.011235955056179775,4163,3477,0.012654587287891862,0.010569300984866683,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1292847181,697001770,ER4m(ring)_R,EPG(PB08)_L2,ER4m_R,EPG_L,EPG,ER4m,4160,0.010576923076923078,4263,0.010321369927281257,0.010576923076923078,4251,3659,0.012025143481825635,0.0103505057633498,EPG,ER4,EPG,ER,EB Columnar,ER
44,EB,44,1292847181,5813022281,ER4m(ring)_R,EPG(PB08)_L4,ER4m_R,EPG_L,EPG,ER4m,3272,0.013447432762836185,4263,0.010321369927281257,0.013447432762836185,4251,2836,0.015514809590973202,0.0103505057633498,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1167641412,449438847,ER4m(ring)_L,EPG(PB08)_L3,ER4m_L,EPG_L,EPG,ER4m,4595,0.009357997823721436,4273,0.010063187456119822,0.009357997823721436,4268,4070,0.010565110565110565,0.01007497656982193,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1198671494,5813077544,ER4m(ring)_L,EPG(PB08)_R1,ER4m_L,EPG_R,EPG,ER4m,5176,0.00830757341576507,4044,0.01063303659742829,0.00830757341576507,4041,4842,0.008880627839735646,0.010640930462756744,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1198671494,912601268,ER4m(ring)_L,EPG(PB08)_L6,ER4m_L,EPG_L,EPG,ER4m,3425,0.012554744525547445,4044,0.01063303659742829,0.012554744525547445,4041,3047,0.014112241549064654,0.010640930462756744,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,5813047793,1034219901,ER4m(ring)_L,EPG(PB08)_R7,ER4m_L,EPG_R,EPG,ER4m,4020,0.010696517412935324,4099,0.010490363503293486,0.010696517412935324,4098,3813,0.011277209546289012,0.010492923377257199,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1167645442,697001770,ER4m(ring)_R,EPG(PB08)_L2,ER4m_R,EPG_L,EPG,ER4m,4160,0.010336538461538461,4226,0.010175106483672503,0.010336538461538461,4217,3659,0.011751844766329598,0.010196822385582168,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1167645442,912545106,ER4m(ring)_R,EPG(PB08)_L2,ER4m_R,EPG_L,EPG,ER4m,4271,0.010067899789276516,4226,0.010175106483672503,0.010067899789276516,4217,3798,0.011321748288572932,0.010196822385582168,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1198326456,5813077544,ER4m(ring)_R,EPG(PB08)_R1,ER4m_R,EPG_R,EPG,ER4m,5176,0.00830757341576507,4285,0.010035005834305718,0.00830757341576507,4271,4842,0.008880627839735646,0.010067899789276516,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,5813053866,758419409,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4163,0.010329089598846986,4568,0.009413309982486864,0.010329089598846986,4568,3801,0.011312812417784793,0.009413309982486864,EPG,ER4,EPG,ER,EB Columnar,ER
43,EB,43,1292847181,912545106,ER4m(ring)_R,EPG(PB08)_L2,ER4m_R,EPG_L,EPG,ER4m,4271,0.010067899789276516,4263,0.010086793338024865,0.010067899789276516,4251,3798,0.011321748288572932,0.010115266996000941,EPG,ER4,EPG,ER,EB Columnar,ER
